# Manually maintained mapping of IATA airport codes and timezones such that:
#
# 1) Every timezone is associated with at least one airport code.
# 2) An airport code is associated with only a single timezone.
# 3) Some timezones may be associated with multiple airports.
#
# The airport codes were assigned using the following guidelines:
#
# 1) Use the well-known 3-letter IATA code if available.
# 2) Use the 4-letter ICAO code if IATA code is not assigned.
# (e.g. BGDH at Danmarkshavn Airport, Greenland).
# 3) Use the sentinel "0000" if no airport exists near the town/region. This
# makes it impossible to select one of these timezones using an airport code.
# Fortunately, most of these are small villages or towns which chose to use a
# different DST rule than the rest of the larger region for various regions.

# airport timezone
UVF America/St_Lucia # Hewanorra International Airport, St Lucia
STT America/St_Thomas # Cyril E. King Airport, Virgin Islands (US)
SVD America/St_Vincent # Argyle International Airport, St Vincent
YYN America/Swift_Current # Swift Current Airport, Canada
TGU America/Tegucigalpa # Toncontin International Airport, Honduras
THU America/Thule # Pituffik Space Base, Greenland
YQT America/Thunder_Bay # Thunder Bay Airport, Canada
TIJ America/Tijuana # General Abelardo L. Rodriguez International Airport, Mexico
YYZ America/Toronto # Lester B. Pearson International Airport, Canada
EIS America/Tortola # Terrance B. Lettsome International Airport, Virgin Islands (UK)
YVR America/Vancouver # Vancouver International Airport, Canada
America/Virgin # Virgin Islands (US)
America/Whitehorse # Canada
America/Winnipeg # Canada
America/Yakutat # USA
America/Yellowknife # Canada
Antarctica/Casey # Antartica Australia
Antarctica/Davis # Antartica France
Antarctica/DumontDUrville # Antartica France
Antarctica/Macquarie # Antartica Australia
Antarctica/Mawson # Antartica Australia
Antarctica/McMurdo # Antartica USA
Antarctica/Palmer # Antartica USA
Antarctica/Rothera # Antartica Britain
Antarctica/South_Pole # Antartica New Zealand
Antarctica/Syowa # Antartica Japan
Antarctica/Troll # Antartica Norway
Antarctica/Vostok # Antartica Russia
Arctic/Longyearbyen # Svalbard & Jan Mayen
Asia/Aden # Yemen
Asia/Almaty # Kazakhstan
Asia/Amman # Jordan
Asia/Anadyr # Russia
Asia/Aqtau # Kazakhstan
Asia/Aqtobe # Kazakhstan
Asia/Ashgabat # Turkmenistan
Asia/Atyrau # Turkmenistan
Asia/Baghdad # Iraq
Asia/Bahrain # Bahrain
Asia/Baku # Azerbaijan
Asia/Bangkok # Thailand
Asia/Barnaul # Russia
Asia/Beirut # Lebanon
Asia/Bishkek # Kyrgyzstan
Asia/Brunei # Brunei
Asia/Chita # Russia
Asia/Choibalsan # Mongolia
Asia/Chongqing # China
Asia/Colombo # Sri Lanka
Asia/Damascus # Syria
Asia/Dhaka # Bangladesh
Asia/Dili # East Timor
Asia/Dubai # United Arab Emirates
Asia/Dushanbe # Tajikistan
Asia/Famagusta # Cyprus
Asia/Gaza # Palestine
Asia/Harbin # China
Asia/Hebron # Palestine
Asia/Ho_Chi_Minh # Vietnam
Asia/Hong_Kong # Hong Kong
Asia/Hovd # Mongolia
Asia/Irkutsk # Russia
Asia/Jakarta # Indonesia
Asia/Jayapura # Indonesia
Asia/Jerusalem # Israel
Asia/Kabul # Afghanistan
Asia/Kamchatka # Russia
Asia/Karachi # Pakistan
Asia/Kashgar # China
Asia/Kathmandu # Nepal
Asia/Khandyga # Russia
Asia/Kolkata # India
Asia/Krasnoyarsk # Russia
Asia/Kuala_Lumpur # Malaysia
Asia/Kuching # Malaysia
Asia/Kuwait # Kuwait
Asia/Macau # Macau
Asia/Magadan # Russia
Asia/Makassar # Indonesia
Asia/Manila # Philippines
Asia/Muscat # Oman
Asia/Nicosia # Cyprus
Asia/Novokuznetsk # Russia
Asia/Novosibirsk # Russia
Asia/Omsk # Russia
Asia/Oral # Kazakhstan
Asia/Phnom_Penh # Cambodia
Asia/Pontianak # Indonesia
Asia/Pyongyang # North Korea
Asia/Qatar # Qatar
Asia/Qostanay # Kazakhstan
Asia/Qyzylorda # Kazakhstan
Asia/Riyadh # Saudi Arabia
Asia/Sakhalin # Russia
Asia/Samarkand # Uzbekistan
Asia/Seoul # South Korea
Asia/Shanghai # China
Asia/Singapore # Singapore
Asia/Srednekolymsk # Russia
Asia/Taipei # Taiwan
Asia/Tashkent # Uzbekistan
Asia/Tbilisi # Georgia
Asia/Tehran # Iran
Asia/Tel_Aviv # Israel
Asia/Thimphu # Bhutan
Asia/Tokyo # Japan
Asia/Tomsk # Russia
Asia/Ulaanbaatar # Mongolia
Asia/Urumqi # China
Asia/Ust-Nera # Russia
Asia/Vientiane # Laos
Asia/Vladivostok # Russia
Asia/Yakutsk # Russia
Asia/Yangon # Myanmar
Asia/Yekaterinburg # Russia
Asia/Yerevan # Armenia
Atlantic/Azores # Portual (??)
Atlantic/Bermuda # Bermuda
Atlantic/Canary # Spain
Atlantic/Cape_Verde # Cape Verde
Atlantic/Faroe # Faroe Islands
Atlantic/Jan_Mayen # Svalbard & Jan Mayen
Atlantic/Madeira # Portugal
Atlantic/Reykjavik # Iceland
Atlantic/South_Georgia # South Georgia
Atlantic/St_Helena # St Helena
Atlantic/Stanley # Falkand Islands
Australia/Adelaide # Australia
Australia/Brisbane # Australia
Australia/Broken_Hill # Australia
Australia/Canberra # Australia
Australia/Currie # Australia
Australia/Darwin # Australia
Australia/Eucla # Australia
Australia/Hobart # Australia
Australia/Lindeman # Australia
Australia/Lord_Howe # Australia
Australia/Melbourne # Australia
Australia/NSW # Australia
Australia/North # Australia
Australia/Perth # Australia
Australia/Queensland # Australia
Australia/South # Australia
Australia/Sydney # Australia
Australia/Tasmania # Australia
Australia/Victoria # Australia
Australia/West # Australia
Canada/Atlantic # Canada
Canada/Central # Canada
Canada/Eastern # Canada
Canada/Mountain # Canada
Canada/Newfoundland # Canada
Canada/Pacific # Canada
Canada/Saskatchewan # Canada
Canada/Yukon # Canada
Etc/UTC # Misc
Europe/Amsterdam # Netherlands
Europe/Andorra # Andorra
Europe/Astrakhan # Russia
Europe/Athens # Greece
Europe/Belfast # Britain
Europe/Belgrade # Serbia
Europe/Berlin # Germany
Europe/Bratislava # Slovakia
Europe/Brussels # Belgium
Europe/Bucharest # Romania
Europe/Budapest # Hungary
Europe/Busingen # Germany
Europe/Chisinau # Moldova
Europe/Copenhagen # Denmark
Europe/Dublin # Ireland
Europe/Gibraltar # Gibraltar
Europe/Guernsey # Guernsey
Europe/Helsinki # Finland
Europe/Isle_of_Man # Isle of Man
Europe/Istanbul # Turkey
Europe/Jersey # Jersey
Europe/Kaliningrad # Russia
Europe/Kirov # Russia
Europe/Kyiv # Ukraine
Europe/Lisbon # Portugal
Europe/Ljubljana # Slovenia
Europe/London # Britain
Europe/Luxembourg # Luxembourg
Europe/Madrid # Spain
Europe/Malta # Malta
Europe/Mariehamn # Aland Islands
